Branch,Customer Name,Invoice,Work Order, QW Total , SAP Total , Discrepancy ,Cause,Dept Impacted,Date
ABQ,Home Depot,V20082425,W241239,858.79,830.60,5.83,Travel Rate,Service,07/21/21
ABQ,Home Depot,V20082464,W241273,683.01,584.02,5.83,Travel Rate,Service,07/21/21
ABQ,Home Depot,V20082757,W241433,295.58,200.23,-94.17,Travel Rate,Service,07/23/21
ABQ,Home Depot,V20082755,W241442,478.63,374.99,-94.17,Travel Rate,Service,07/23/21
ABQ,Home Depot,V20085760,W242907,686.73,673.94,-6.97,Part Pricing - Raymond,Service,11/15/21
ABQ,Home Depot,V20085760,W242907,686.73,673.94,-5.82,Entry Error - Part Pricing,Service,11/15/21
ABQ,Harbor Freight,V20078606,W239106,220.72,272.25,51.53,Incorrect Labor Rate,Service,02/12/21
ABQ,Harbor Freight,V20078115,W238842,1275.33,740.74,-493.43,Incorrect Labor Rate/Amt,Service,01/26/21
ABQ,Harbor Freight,V20078115,W238842,1275.33,740.74,-41.16,Part Pricing - Raymond,Service,01/26/21
ABQ,Harbor Freight,V20081754,W240805,369.04,363.38,-5.66,Part Pricing - Raymond,Service,07/13/21
ABQ,Petco,V20084515,W242300,863.86,866.76,-50.95,Entry Error - Labor Quantity,Service,10/05/21
ABQ,Petco,V20081284,W240471,269.74,300.28,34.00,Incorrect Labor Rate,Service,05/28/21
ABQ,Petco,V20083582,W241798,296.12,253.95,-38.70,Incorrect Labor Rate,Service,09/01/21
ABQ,Petco,V20084515,W242300,863.86,866.76,62.90,Incorrect Labor Rate,Service,10/05/21
ABQ,Petco,V20081284,W240471,269.74,300.28,-3.47,Part Pricing - Raymond,Service,05/28/21
ABQ,Petco,V20083582,W241798,296.12,253.95,-3.47,Part Pricing - Raymond,Service,09/01/21
ABQ,Petco,V20084515,W242300,863.86,866.76,-9.05,Part Pricing - Raymond,Service,10/05/21
ABQ,Petco,V20084665,W242364,823.55,679.97,-6.52,Part Pricing - Raymond,Service,10/14/21
ABQ,Petco,V20084665,W242364,823.55,679.97,-137.06,Over NTE,Service,10/14/21
ABQ,TBC International,V20079846,W239586,493.15,513.15,20.00,Incorrect Labor Rate,Service,04/07/21
ABQ,TBC International,V20078911,SM2037200,91.69,85.00,-6.69,Tax,Service,02/25/21
ABQ,TBC International,V20078974,W239414,104.42,96.80,-7.62,Tax,Service,02/25/21
ABQ,TBC International,V20084345,SM2039494,91.69,85.00,-6.69,Tax,Service,10/05/21
ABQ,TBC International,V20084834,W242075,494.28,458.20,-36.08,Tax,Service,10/14/21
ABQ,Walmart,V20083660,W241939,696.60,522.45,-174.15,Entry Error - Labor Quantity,Service,09/01/21
ABQ,Walmart,V20080916,W240361,442.01,484.13,6.64,Entry Error - Part Pricing,Service,05/12/21
ABQ,Walmart,V20077830,W238808,277.30,279.87,3.03,Entry Error - Travel Rate,Service,01/14/21
ABQ,Walmart,V20079061,W239343,2256.97,2377.97,121.00,Entry Error - Travel Rate,Service,02/25/21
ABQ,Walmart,V20080916,W240361,442.01,484.13,35.48,Entry Error - Travel Rate,Service,05/12/21
ABQ,Walmart,V20082297,W240958,1382.74,1319.42,9.68,Entry Error - Travel Rate,Service,07/02/21
ABQ,Walmart,V20082990,W241458,1558.55,1236.92,16.21,Incorrect Labor Rate,Service,08/04/21
ABQ,Walmart,V20077855,W238793,859.41,525.87,-332.16,Over NTE,Service,01/20/21
ABQ,Walmart,V20078135,W238987,598.95,544.50,-54.45,Over NTE,Service,01/20/21
ABQ,Walmart,V20077830,W238808,277.30,279.87,-0.46,Part Pricing - Raymond,Service,01/14/21
ABQ,Walmart,V20077855,W238793,859.41,525.87,-1.40,Part Pricing - Raymond,Service,01/20/21
ABQ,Walmart,V20080123,W239564,1594.25,1482.60,-4.06,Part Pricing - Raymond,Service,04/14/21
ABQ,Walmart,V20080446,W239432,485.89,483.80,-2.09,Part Pricing - Raymond,Service,04/29/21
ABQ,Walmart,V20082297,W240958,1382.74,1319.42,-73.00,Part Pricing - Raymond,Service,07/02/21
